adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
KUŞADASI,KUSADASI,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009012
KUYUCAK,KUYUCAK,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009013
NAZİLLİ,NAZILLI,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009014
SÖKE,SOKE,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009015
SULTANHİSAR,SULTANHISAR,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009016
YENİPAZAR,YENIPAZAR,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009017
ALTIEYLÜL,ALTIEYLUL,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010001
AYVALIK,AYVALIK,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010002
BALYA,BALYA,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010003
BANDIRMA,BANDIRMA,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010004
BİGADİÇ,BIGADIC,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010005
BURHANİYE,BURHANIYE,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010006
DURSUNBEY,DURSUNBEY,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010007
EDREMİT,EDREMIT,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010008
ERDEK,ERDEK,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010009
GÖMEÇ,GOMEC,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010010
GÖNEN,GONEN,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010011
HAVRAN,HAVRAN,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010012
İVRİNDİ,IVRINDI,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010013
KARESİ,KARESI,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010014
KEPSUT,KEPSUT,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010015
MANYAS,MANYAS,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010016
MARMARA,MARMARA,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010017
SAVAŞTEPE,SAVASTEPE,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010018
SINDIRGI,SINDIRGI,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010019
SUSURLUK,SUSURLUK,BALIKESİR,BALIKESIR,TUR010,TÜRKİYE,TURKEY,TUR010020
AMASRA,AMASRA,BARTIN,BARTIN,TUR074,TÜRKİYE,TURKEY,TUR074001
BARTIN,BARTIN,BARTIN,BARTIN,TUR074,TÜRKİYE,TURKEY,TUR074002
KURUCAŞİLE,KURUCASILE,BARTIN,BARTIN,TUR074,TÜRKİYE,TURKEY,TUR074003
ULUS,ULUS,BARTIN,BARTIN,TUR074,TÜRKİYE,TURKEY,TUR074004
BATMAN,BATMAN,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072001
BEŞİRİ,BESIRI,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072002
GERCÜŞ,GERCUS,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072003
HASANKEYF,HASANKEYF,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072004
KOZLUK,KOZLUK,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072005
SASON,SASON,BATMAN,BATMAN,TUR072,TÜRKİYE,TURKEY,TUR072006
AYDINTEPE,AYDINTEPE,BAYBURT,BAYBURT,TUR069,TÜRKİYE,TURKEY,TUR069001
BAYBURT,BAYBURT,BAYBURT,BAYBURT,TUR069,TÜRKİYE,TURKEY,TUR069002
DEMİRÖZÜ,DEMIROZU,BAYBURT,BAYBURT,TUR069,TÜRKİYE,TURKEY,TUR069003
BİLECİK,BILECIK,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011001
BOZÜYÜK,BOZUYUK,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011002
GÖLPAZARI,GOLPAZARI,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011003
İNHİSAR,INHISAR,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011004
OSMANELİ,OSMANELI,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011005
PAZARYERİ,PAZARYERI,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011006
SÖĞÜT,SOGUT,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011007
YENİPAZAR,YENIPAZAR,BİLECİK,BILECIK,TUR011,TÜRKİYE,TURKEY,TUR011008
ADAKLI,ADAKLI,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012001
BİNGÖL,BINGOL,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012002
GENÇ,GENC,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012003
KARLIOVA,KARLIOVA,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012004
KİĞI,KIGI,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012005
SOLHAN,SOLHAN,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012006
YAYLADERE,YAYLADERE,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012007
