id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001007001005007,Marlens,,Commune,Commune simple,FRA.1.7.1.5.7_1,
FRA001007001005008,Montmin,,Commune,Commune simple,FRA.1.7.1.5.8_1,
FRA001007001005009,Saint-Ferréol,,Commune,Commune simple,FRA.1.7.1.5.9_1,
FRA001007001005010,Seythenex,,Commune,Commune simple,FRA.1.7.1.5.10_1,
FRA001007001006001,Bloye,,Commune,Commune simple,FRA.1.7.1.6.1_1,
FRA001007001006002,Boussy,,Commune,Commune simple,FRA.1.7.1.6.2_1,
FRA001007001006003,Crempigny-Bonneguête,,Commune,Commune simple,FRA.1.7.1.6.3_1,
FRA001007001006004,Étercy,,Commune,Commune simple,FRA.1.7.1.6.4_1,
FRA001007001006005,Hauteville-sur-Fier,,Commune,Commune simple,FRA.1.7.1.6.5_1,
FRA001007001006006,Lornay,,Commune,Commune simple,FRA.1.7.1.6.6_1,
FRA001007001006007,Marcellaz-Albanais,,Commune,Commune simple,FRA.1.7.1.6.7_1,
FRA001007001006008,Marigny-Saint-Marcel,,Commune,Commune simple,FRA.1.7.1.6.8_1,
FRA001007001006009,Massingy,,Commune,Commune simple,FRA.1.7.1.6.9_1,
FRA001007001006010,Moye,,Commune,Commune simple,FRA.1.7.1.6.10_1,
FRA001007001006011,Rumilly,,Commune,Chef-lieu canton,FRA.1.7.1.6.11_1,
FRA001007001006012,Saint-Eusèbe,,Commune,Commune simple,FRA.1.7.1.6.12_1,
FRA001007001006013,Sales,,Commune,Commune simple,FRA.1.7.1.6.13_1,
FRA001007001006014,Thusy,,Commune,Commune simple,FRA.1.7.1.6.14_1,
FRA001007001006015,Val-de-Fier,,Commune,Commune simple,FRA.1.7.1.6.15_1,
FRA001007001006016,Vallières,,Commune,Commune simple,FRA.1.7.1.6.16_1,
FRA001007001006017,Vaulx,,Commune,Commune simple,FRA.1.7.1.6.17_1,
FRA001007001006018,Versonnex,,Commune,Commune simple,FRA.1.7.1.6.18_1,
FRA001007001007001,Chavanod,,Commune,Commune simple,FRA.1.7.1.7.1_1,
