admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Yéngou,CF4352,Yengou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Baïdou-Ngoumbourou,CF4353,Baidou-Ngoumbourou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,Samba-Boungou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Yalinga,CF523,Yalinga,CF5231,Yalinga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,Zemio,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Daba Nydou,CF5212,Daba Nydou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Batangafo,CF326,Hama,CF3263,Hama,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,Nana Markounda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Ndoro Mboli,CF3216,Ndoro Mboli,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Niem-Yelewa,CF2212,Niem-Yelewa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Koui,CF313,Koui,CF3131,Koui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Basse-Batouri,CF2115,Basse-Batouri,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Basse-Mambéré,CF2114,Basse-Mambere,,,2014-08-02,2015-06-15,
