admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Bibugn,ET030601,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bidu,ET020208,,,,Zone 2 (Kilbet Rasu),ET0202,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Bila Seyo,ET040207,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bilate Zuria,ET070434,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bilcil-Bur,ET050306,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Bilo Nopha,ET040315,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Birbirsa Kojowa,ET041596,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bishan Guracha,ET041798,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bishoftu Town,ET040709,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bita (Big),ET070910,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Biyoawale,ET150208,,,,Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,2019-08-19,2019-10-28,
Bodaley,ET050599,,,,Korahe,ET0505,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Boditi Town,ET070615,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Boji Chekorsa,ET040110,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Boji Dirmeji,ET040106,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Boke,ET040910,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bokh,ET050702,,,,Doolo,ET0507,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Bokolmayo,ET050999,,,,Liban,ET0509,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Bole,ET140104,,,,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,2019-08-19,2019-10-28,
Boloso Bombe,ET070608,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Boloso Sore,ET070601,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bona Zuria,ET070418,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Boneya Boshe,ET040205,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bonga Town,ET070911,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bonke,ET071014,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bora,ET040710,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bore,ET041402,,,,Guji,ET0414,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Borecha,ET041607,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Boreda,ET071004,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Borena / Debresina,ET030412,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Boricha,ET070410,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Boset,ET040702,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Botor Tolay,ET040495,,,,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bugna,ET030301,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bui Town Admin,ET070117,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bule,ET070504,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bule Hora,ET041501,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bule Hora Town,ET041587,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bulen,ET060207,,,,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Bulike Town Admin,ET071508,,,,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bura,ET070426,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Burayu,ET042001,,,,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bure (Amhara),ET030710,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bure (Oromia),ET040312,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bure Town,ET030798,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Burji Special,ET072203,,,,Burji,ET0722,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Burqod,ET050394,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
