admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
El Radoom,SD03141,El Radoom,El Radoom,El Radoom,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
El Ferdous,SD05152,El Ferdous,El Ferdous,El Ferdous,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Sunta,SD03156,Sunta,Sunta,Sunta,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Buram,SD03161,Buram,Buram,Buram,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Um Dafug,SD03146,Um Dafug,Um Dafug,Um Dafug,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Umm Dukhun,SD06135,Umm Dukhun,Umm Dukhun,Umm Dukhun,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Um Buru,SD02120,Um Buru,Um Buru,Um Buru,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Dalgo,SD17015,Dalgo,Dalgo,Dalgo,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Halfa,SD17014,Halfa,Halfa,Halfa,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
El Kurmuk,SD08106,El Kurmuk,El Kurmuk,EL Kurmuk,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Geissan,SD08109,Geissan,Geissan,Geissan,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Rahad El Berdi,SD03158,Rahad El Berdi,Rahad El Berdi,Rahad El Berdi,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Marshang,SD03145,Marshang,Marshang,Marshang,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Sheiria,SD05148,Sheiria,Sheiria,Sheiria,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Tullus,SD03149,Tullus,Tullus,Tullus,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
El Damazine,SD08105,El Damazine,El Damazine,El Damazine,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Sinkat,SD10071,Sinkat,Sinkat,Sinkat,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
North Delta,SD11057,North Delta,North Delta,North Delta,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Dordeb,SD10063,Dordeb,Dordeb,Dordeb,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
Aroma,SD11055,Aroma,Aroma,Aroma,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Atbara River,SD11062,Atbara River,Nahr Atbara,Atbara River,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Khashm Ghirba,SD11060,Khashm Ghirba,Khashm Ghirba,Khashm Ghirba,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
El Butana,SD12073,El Butana,El Butana,El Butana,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
El Faw,SD12074,El Faw,El Faw,El Faw,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Al Mafaza,SD12082,Al Mafaza,Al Mafaza,Al Mafaza,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
El Rahad,SD12084,El Rahad,El Rahad,El Rahad,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Western El Galabat,SD12078,Western El Galabat,Gharb El Galabat,Western El Galabat,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Kassala,SD11053,Kassala,Kassala,Kassala,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Wad El Helew,SD11061,Wad El Helew,Wad El Helew,Wad El Helew,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Western Kassala,SD11054,Western Kassala,Gharb Kassala,Western Kassala,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
Telkok,SD11059,Telkok,Telkok,Telkok,Kassala,SD11,Sudan,SD,2014-01-01,2015-11-30,
