admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Itaba,BDI006007,Itaba,Itaba (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Bukirasazi,BDI006002,Bukirasazi,Bukirasazi (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Gitega,BDI006006,Gitega,Gitega (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Makebuko,BDI006008,Makebuko,Makebuko (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Butaganzwa1,BDI016001,Butaganzwa1,Butaganzwa1 (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Mpinga-Kayove,BDI015004,Mpinga-Kayove,Mpinga-Kayove (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Nyabitsinda,BDI016006,Nyabitsinda,Nyabitsinda (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Ruyigi,BDI016007,Ruyigi,Ruyigi (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Shombo,BDI007007,Shombo,Shombo (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Butezi,BDI016002,Butezi,Butezi (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Nyabikere,BDI007006,Nyabikere,Nyabikere (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Bweru,BDI016003,Bweru,Bweru (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Gitaramuka,BDI007004,Gitaramuka,Gitaramuka (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Gashikanwa,BDI014002,Gashikanwa,Gashikanwa (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Mutaho,BDI006009,Mutaho,Mutaho (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Muhanga,BDI008007,Muhanga,Muhanga (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Ngozi,BDI014006,Ngozi,Ngozi (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Bugenyuzi,BDI007001,Bugenyuzi,Bugenyuzi (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
